sample-id	Step1Conc	WellNo	i7Primer	i5Primer	OriginalName	TechRepNo	FirstNo	Experiment	Project	SampleType	ControlType	Inhibitor	Substrate	SedimentLocation	Condition	Timepoint	Date	SourceType	Split	TubeNo	SeqId	PercentContam
A55	54	E2	H712	H516	K3AMOBT13	80	19	K0823	sediment inhibition	experiment	NA	yes	NA	top	UA (+)M B	T13	NA	mud	NA	NA	BoxA	0.037528146
A56	too high	E3	H720	H516	TMI3T2L	134	24	TM1-1	substrates	experiment	NA	NA	Lactate	NA	inoc 3	T2	NA	DNA filter	NA	NA	BoxA	0.009987516
A57	0.106	E4	H710	H516	TMI3T2A	133	29	TM1-1	substrates	experiment	NA	NA	Acetate	NA	inoc 3	T2	NA	DNA filter	NA	NA	BoxA	0.603864734
A58	0.053	E5	H711	H516	TMNGT3A	150	7	TM1-1	substrates	control	negative	NA	pyruvate	NA	(-)	T3	4/17/23	filter	NA	NA	BoxA	4.076086957
A59	50	E6	H714	H516	K3AMOAT13	79	17	K0823	sediment inhibition	experiment	NA	yes	NA	top	UA (+)M A	T13	NA	mud	NA	NA	BoxA	0
A6	0.06	A5	H707	H506	TMI3T0A	128	36	TM1-1	substrates	experiment	NA	NA	Acetate	NA	inoc 3	T0	8/10/21	filter	NA	NA	BoxA	13.13131313
A61	0.053	E7	H701	H516	TMNGT1L	145	10	TM1-1	substrates	control	negative	NA	Lactate	NA	(-) MQ	T1	NA	DNA filter	NA	NA	BoxA	3.03030303
A62	46.4	E8	H702	H516	K3BNMCT0	96	10	K0823	sediment inhibition	experiment	NA	no	NA	bottom	DB (-)M C	T0	NA	mud	NA	NA	BoxA	0.034037979
A63	5.35	E9	H703	H516	TMI1T4A	113	30	TM1-1	substrates	experiment	NA	NA	Acetate	NA	inoc 1	T4	NA	DNA filter	NA	NA	BoxA	0.003140753
A64	53	E10	H705	H516	TMPGT2A	155	26	TM1-1	substrates	control	positive	NA	Acetate	NA	(+) G20	T2	NA	DNA filter	NA	NA	BoxA	99.99179824
A65	too high	E11	H707	H516	TMI1T2M	110	17	TM1-1	substrates	experiment	NA	NA	Malate	NA	inoc 1	T2	NA	DNA filter	NA	NA	BoxA	0.030377183
A66	48.4	E12	H723	H516	K3BNMCT13	97	14	K0823	sediment inhibition	experiment	NA	no	NA	bottom	DB (-)M C	T13	NA	mud	NA	NA	BoxA	0
A67	48.1	F1	H710	H522	K3BNMAT13	94	15	K0823	sediment inhibition	experiment	NA	no	NA	bottom	DB (-)M A	T13	NA	mud	NA	NA	BoxA	0
A68	60	F2	H711	H510	TMI2T2M	123	18	TM1-1	substrates	experiment	NA	NA	Malate	NA	inoc 2	T2	NA	DNA filter	NA	NA	BoxA	0
A69	0.076	F3	H714	H513	TMNGT2L	148	20	TM1-1	substrates	control	negative	NA	Lactate	NA	(-) MQ	T2	NA	DNA filter	NA	NA	BoxA	0
A7	0.055	A6	H723	H517	TMI1T3P	112	13	TM1-1	substrates	experiment	NA	NA	pyruvate	NA	inoc 1	T3	4/17/23	filter	NA	NA	BoxA	1.73992674
A70	too high	F4	H701	H522	TMI3T1L	131	14	TM1-1	substrates	experiment	NA	NA	Lactate	NA	inoc 3	T1	NA	DNA filter	NA	NA	BoxA	0
A71	0.109	F5	H702	H510	TMI2T0M	118	38	TM1-1	substrates	experiment	NA	NA	Malate	NA	inoc 2	T0	8/10/21	filter	NA	NA	BoxA	0.253281142
A72	0.109	F6	H703	H513	K3BMOBT13	92	21	K0823	sediment inhibition	experiment	NA	yes	NA	bottom	DB (+)M B	T13	NA	mud	NA	NA	BoxA	0
A73	52	F7	H705	H522	K3BMOA13	89	22	K0823	sediment inhibition	experiment	NA	yes	NA	bottom	DB (+)M A	T13	NA	mud	NA	NA	BoxA	0
A74	0.05	F8	H707	H510	TMNGT0M	143	25	TM1-1	substrates	control	negative	NA	Malate	NA	(-) MQ	T0	8/10/21	filter	NA	NA	BoxA	5.414012739
A75	52	F9	H723	H513	K3BMOCT13	93	20	K0823	sediment inhibition	experiment	NA	yes	NA	bottom	DB (+)M C	T13	NA	mud	NA	NA	BoxA	0
A76	52	F10	H706	H522	TMI2T1M	120	8	TM1-1	substrates	experiment	NA	NA	Malate	NA	inoc 2	T1	NA	DNA filter	NA	NA	BoxA	0
A77	0.062	F11	H712	H510	TMI2T0A	115	26	TM1-1	substrates	experiment	NA	NA	Acetate	NA	inoc 2	T0	8/10/21	filter	NA	NA	BoxA	0
A78	0.071	F12	H720	H513	TMNGT1M	146	5	TM1-1	substrates	control	negative	NA	Malate	NA	(-) MQ	T1	NA	DNA filter	NA	NA	BoxA	1.62601626
A79	0.1	G1	H711	H513	TMI3T0P	130	24	TM1-1	substrates	experiment	NA	NA	pyruvate	NA	inoc 3	T0	8/10/21	filter	NA	NA	BoxA	5.291005291
A8	0.136	A7	H706	H505	TMI3T4A	138	2	TM1-1	substrates	experiment	NA	NA	Acetate	NA	inoc 3	T4	NA	DNA filter	NA	NA	BoxA	0
A80	0.091	G2	H714	H522	TMI1T0A	102	27	TM1-1	substrates	experiment	NA	NA	Acetate	NA	inoc 1	T0	8/10/21	filter	NA	NA	BoxA	0.705882353
A81	0.061	G3	H710	H510	TMNGT0P	144	23	TM1-1	substrates	control	negative	NA	pyruvate	NA	(-) MQ	T0	8/10/21	filter	NA	NA	BoxA	40.17094017
A82	0.311	G4	H702	H513	TMPGT0A	151	20	TM1-1	substrates	control	positive	NA	Acetate	NA	(+) G20	T0	8/10/21	filter	NA	NA	BoxA	99.68577495
A83	54	G5	H703	H522	K3ANMAT13	84	8	K0823	sediment inhibition	experiment	NA	no	NA	top	UA (-)M A	T13	NA	mud	NA	NA	BoxA	0
A84	0.056	G6	H701	H510	TMI1T0P	105	22	TM1-1	substrates	experiment	NA	NA	pyruvate	NA	inoc 1	T0	8/10/21	filter	NA	NA	BoxA	1.715265866
A85	0.347	G7	H707	H513	TMPGT0L	152	21	TM1-1	substrates	control	positive	NA	Lactate	NA	(+) G20	T0	8/10/21	filter	NA	NA	BoxA	99.89702586
A86	0.075	G8	H723	H522	TMNGT0L	142	33	TM1-1	substrates	control	negative	NA	Lactate	NA	(-) MQ	T0	8/10/21	filter	NA	NA	BoxA	22.09302326
A87	58	G9	H705	H510	K3BNMBT13	95	13	K0823	sediment inhibition	experiment	NA	no	NA	bottom	DB (-)M B	T13	NA	mud	NA	NA	BoxA	0
A88	0.091	G10	H712	H513	TMI1T0B	103	28	TM1-1	substrates	experiment	NA	NA	butyrate	NA	inoc 1	T0	8/10/21	filter	NA	NA	BoxA	0.379506641
A89	45.1	G11	H720	H522	K3AMOCT13	82	18	K0823	sediment inhibition	experiment	NA	yes	NA	top	UA (+)M C	T13	NA	mud	NA	NA	BoxA	0
A90	27.5	G12	H706	H510	TMI2T4A	126	3	TM1-1	substrates	experiment	NA	NA	Acetate	NA	inoc 2	T4	NA	DNA filter	NA	NA	BoxA	0.004009891
A91	53	H1	H714	H510	K3CO2	100	3	K0823	sediment inhibition	experiment	NA	NA	NA	source	Core 3B microbio (tube 2)	NA	mud		NA	NA	BoxA	0
ANC	too low	H3	H711	H522	ANC	57	NA	NA	control	control	negative	NA	NA	NA	NA	NA	NA	NA	NA	NA	BoxA	0
APC	too high	H2	H710	H513	APC	59	NA	NA	control	control	positive	NA	NA	NA	NA	NA	NA	NA	NA	NA	BoxA	31.25
B1	59	A1	H701	H505	K4MOCT10EU	26	44	K0824	biomass inhibition	experiment	NA	yes	Eu	NA	M(+) iC	T10	NA	NA	No	44	BoxB	0
B1-re	59	H6	H702	H522	B1-re	26	NA	NA	control	experiment	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	BoxA	0
