sample-id	Step1Conc	WellNo	i7Primer	i5Primer	OriginalName	TechRepNo	FirstNo	Experiment	Project	SampleType	ControlType	Inhibitor	Substrate	SedimentLocation	Condition	Timepoint	Date	SourceType	Split	TubeNo	SeqId	PercentContam
B40	3.76	D5	H712	H503	TC24-02	60	TC24-11	polygonal tufted	microbial mats	experiment	NA	NA	NA	NA	top tufted layer and green layer	NA	NA	NA	No	NA	BoxB	0
B41	9.89	D6	H720	H503	TC24-09	67	TC24-09	NA	microbial mats	experiment	NA	NA	NA	NA	green layer	NA	NA	NA	No	NA	BoxB	0
B42	4.42	D7	H710	H503	K4MOBT0EU	19	8	K0824	biomass inhibition	experiment	NA	yes	Eu	NA	M(+) iB	T0	NA	NA	No	NA	BoxB	2.222781714
B43	0.069	D8	H711	H503	K4NMNT5EU	66	24	K0824	biomass inhibition	control	negative	no	Eu	NA	m(-) MQ	T5	NA	NA	No	NA	BoxB	91.99318569
B44	52	D9	H714	H503	K4NMCT5EU	51	27	K0824	biomass inhibition	experiment	NA	no	Eu	NA	m(-) iC	T5	NA	NA	No	NA	BoxB	0
B45	1.28	D10	H701	H503	K4MOAT0CY	13	1	K0824	biomass inhibition	experiment	NA	yes	Cy	NA	M(+) iA	T0	NA	NA	No	NA	BoxB	0.690689214
B45-re	1.28	H9	H707	H522	B45-re	13	NA	NA	control	experiment	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	BoxA	0.679504281
B46	4.23	D11	H702	H503	K4MOAT0EU	14	9	K0824	biomass inhibition	experiment	NA	yes	Eu	NA	M(+) iA	T0	NA	NA	No	NA	BoxB	0.674623026
B47	10.5	D12	H703	H503	TC24-14	72	TB24-07	pink filamentous mat	microbial mats	experiment	NA	NA	NA	NA	lacks layers	NA	NA	NA	No	NA	BoxB	0
B48	47.6	E1	H706	H516	K2BT7CY	4	46	K0722	biomass	experiment	NA	NA	Cy	NA	Tr1-B	T7	8/19/22	NA	No	NA	BoxB	0
B49	4.4	E2	H712	H516	K4MOCT0EU	24	7	K0824	biomass inhibition	experiment	NA	yes	Eu	NA	M(+) iC	T0	NA	NA	No	NA	BoxB	3.314732675
B5	53	A6	H723	H517	K4MNCT5CY	12	28	K0824	biomass inhibition	experiment	NA	yes	Cy	NA	M(+) iC-1	T5	NA	NA	Yes	NA	BoxB	0
B50	57	E3	H720	H516	K4NMCT10CY	48	60	K0824	biomass inhibition	experiment	NA	no	Cy	NA	m(-) iC-1	T10	NA	NA	Yes	60	BoxB	0
B50-re	57	H10	H720	H510	B50-re	48	NA	NA	control	experiment	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	BoxA	0
B51	too high	E4	H710	H516	K4NMCT10CY	48	61	K0824	biomass inhibition	experiment	NA	no	Cy	NA	m(-) iC-2	T10	NA	NA	Yes	61	BoxB	0
B52	too high	E5	H711	H516	K4NMBT10EU	43	50	K0824	biomass inhibition	experiment	NA	no	Eu	NA	m(-) iB	T10	NA	NA	No	NA	BoxB	0
B53	7.9	E6	H714	H516	TC24-07	65	TC24-11	Flat mat	microbial mats	experiment	NA	NA	NA	NA	lower pink layer	NA	NA	NA	No	NA	BoxB	0
B54	56	E7	H701	H516	K2BT7EU	5	39	K0722	biomass	experiment	NA	NA	Eu	NA	Tr1-B	T7	8/19/22	NA	No	NA	BoxB	0
B55	53	E8	H702	H516	K4NMAT10EU	37	49	K0824	biomass inhibition	experiment	NA	no	Eu	NA	m(-) iA	T10	NA	NA	No	NA	BoxB	0
B55-re	53	H11	H706	H513	B55-re	37	NA	NA	control	experiment	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	BoxA	0
B56	1.96	E9	H703	H516	K4NMBT0EU	41	4	K0824	biomass inhibition	experiment	NA	no	Eu	NA	m(-) iB	T0	NA	NA	No	NA	BoxB	3.476610719
B57	45.5	E10	H705	H516	K4NMAT10CY	36	64	K0824	biomass inhibition	experiment	NA	no	Cy	NA	m(-) iA-1	T10	NA	NA	Yes	64	BoxB	0
B58	45.9	E11	H707	H516	K4NMAT10CY	36	65	K0824	biomass inhibition	experiment	NA	no	Cy	NA	m(-) iA-2	T10	NA	NA	Yes	65	BoxB	0
B59	40.3	E12	H723	H516	TC24-15	73	TC24-10	thin subtidal mat	microbial mats	experiment	NA	NA	NA	NA	green slimey sheet-like subtidal mat adjacent to mangroves. Sample in ~1 m of water depth	NA	NA	NA	No	NA	BoxB	0
B6	53	A7	H706	H505	K4MNCT5CY	12	29	K0824	biomass inhibition	experiment	NA	yes	Cy	NA	M(+) iC-2	T5	NA	NA	Yes	NA	BoxB	0
B60	3.32	F1	H710	H522	K4NMCT0EU	47	3	K0824	biomass inhibition	experiment	NA	no	Eu	NA	m(-) iC	T0	NA	NA	No	NA	BoxB	0.759816716
B61	46.6	F2	H711	H510	K4NMCT5CY	50	36	K0824	biomass inhibition	experiment	NA	no	Cy	NA	m(-) iC-1	T5	NA	NA	Yes	NA	BoxB	0
B62	54	F3	H714	H513	K4NMCT5CY	50	37	K0824	biomass inhibition	experiment	NA	no	Cy	NA	m(-) iC-2	T5	NA	NA	Yes	NA	BoxB	0
B65	6.79	F4	H701	H522	TC24-06	64	TC24-11	Flat mat	microbial mats	experiment	NA	NA	NA	NA	top yellow/green and dark green layer	NA	NA	NA	No	NA	BoxB	0
B66	3.94	F5	H702	H510	TC24-01	59	TC24-11	polygonal tufted	microbial mats	experiment	NA	NA	NA	NA	top tufted layer and green layer	NA	NA	NA	No	NA	BoxB	0
B67	19.4	F6	H703	H513	K4MOBT10CY	20	54	K0824	biomass inhibition	experiment	NA	yes	Cy	NA	M(+) iB-1	T10	NA	NA	Yes	NA	BoxB	0
B68	27.9	F7	H705	H522	K4MOBT10CY	20	55	K0824	biomass inhibition	experiment	NA	yes	Cy	NA	M(+) iB-2	T10	NA	NA	Yes	NA	BoxB	0
B69	40.5	F8	H707	H510	K4NMCT10EU	49	51	K0824	biomass inhibition	experiment	NA	no	Eu	NA	m(-) iC	T10	NA	NA	No	NA	BoxB	0
B7	56	A8	H712	H506	K4NMBT5CY	44	38	K0824	biomass inhibition	experiment	NA	no	Cy	NA	m(-) iB-1	T5	NA	NA	Yes	NA	BoxB	0.025575448
B70	23.1	F9	H723	H513	K2AT7CY	2	45	K0722	biomass	experiment	NA	NA	Cy	NA	Tr1-A	T7	8/19/22	NA	No	NA	BoxB	0
B71	0.798	F10	H706	H522	K4MOCT0CY	23	12	K0824	biomass inhibition	experiment	NA	yes	Cy	NA	M(+) iC	T0	NA	NA	No	NA	BoxB	5.622614716
B72	0.081	F11	H712	H510	K4MONT0CY	28	2	K0824	biomass inhibition	control	negative	yes	Cy	NA	M(+) MQ	T0	NA	NA	No	NA	BoxB	83.38983051
B73	24.2	F12	H720	H513	K4NMBT10CY	42	62	K0824	biomass inhibition	experiment	NA	no	Cy	NA	m(-) iB-1	T10	NA	NA	Yes	62	BoxB	0
B74	35.4	G1	H711	H513	K4NMBT10CY	42	63	K0824	biomass inhibition	experiment	NA	no	Cy	NA	m(-) iB-2	T10	NA	NA	Yes	63	BoxB	0
